campaign_id,sku_id,platform,campaign_name,status,daily_budget,total_spend_30d,impressions_30d,clicks_30d,conversions_30d,cpc,ctr,conversion_rate,roas,revenue_30d,start_date,end_date
CAM_21007,SKU_SHOES_9083792720088,META_ADS,IG_Classic_Leather_Loafers,ACTIVE,492.68,12240.59,59453,1944,56,6.3,3.27,2.88,9.15,111944,2025-10-22,
CAM_47300,SKU_SHOES_9083792720088,GOOGLE_ADS,Shopping_Classic_Leather_Loafers,ACTIVE,556.49,14624.79,30941,1838,99,7.96,5.94,5.39,13.53,197901,2025-07-06,
CAM_77389,SKU_SHOES_9083792720088,AMAZON_ADS,SB_Classic_Leather_Loafers,PAUSED,420.11,10496.35,8193,803,77,13.07,9.8,9.59,14.66,153923,2025-09-19,
CAM_89218,SKU_SHOES_9083792785624,AMAZON_ADS,SB_Limited_Edition_Hype,ACTIVE,353.45,8626.06,14312,673,41,12.82,4.7,6.09,16.63,143459,2025-07-27,
CAM_98310,SKU_SHOES_9083792654552,AMAZON_ADS,SD_Urban_High-Top_Sneakers,ACTIVE,242.39,6299.7,14671,469,47,13.43,3.2,10.0,9.69,61053,2025-07-06,
CAM_35770,SKU_SHOES_9083792654552,META_ADS,IG_Urban_High-Top_Sneakers,ACTIVE,291.19,7760.27,35800,1723,36,4.5,4.81,2.09,6.03,46764,2025-07-19,
CAM_54473,SKU_SHOES_9083792687320,AMAZON_ADS,SP_Marathon_Pro_Running,ACTIVE,779.87,18468.81,11406,1134,83,16.29,9.94,7.31,1.79,33117,2025-10-18,
CAM_43380,SKU_SHOES_9083792687320,GOOGLE_ADS,Shopping_Marathon_Pro_Running,PAUSED,1445.19,36982.6,85843,5532,162,6.69,6.44,2.93,1.75,64638,2025-11-09,
CAM_37527,SKU_SHOES_9083792752856,GOOGLE_ADS,Search_Canvas_Slip-Ons,PAUSED,1373.87,36654.05,65682,3123,68,11.74,4.75,2.18,1.48,54332,2025-10-19,
CAM_50344,SKU_SHOES_9083792752856,AMAZON_ADS,SB_Canvas_Slip-Ons,ACTIVE,421.76,11417.48,15934,784,77,14.56,4.92,9.81,5.39,61523,2025-07-14,
CAM_88031,SKU_SHOES_9083792752856,META_ADS,IG_Canvas_Slip-Ons,ACTIVE,312.24,8216.62,182558,1948,46,4.22,1.07,2.36,4.47,36754,2025-11-09,
CAM_80561,SKU_SHOES_9083792785624,META_ADS,FB_Limited_Edition_Hype,PAUSED,730.24,19197.89,137979,4072,45,4.71,2.95,1.1,5.86,112455,2025-08-02,
CAM_63511,SKU_SHOES_9083792785624,GOOGLE_ADS,Search_Limited_Edition_Hype,ACTIVE,479.55,11485.82,20486,1103,56,10.41,5.38,5.07,12.18,139944,2025-07-02,
CAM_66945,SKU_SHOES_9083792654552,GOOGLE_ADS,Display_Urban_High-Top_Sneakers,ACTIVE,245.96,6092.82,24200,896,36,6.8,3.7,4.02,10.63,64764,2025-08-07,
CAM_87134,SKU_SHOES_9083792687320,META_ADS,FB_Marathon_Pro_Running,ACTIVE,702.11,17030.85,149569,3494,80,4.87,2.34,2.29,2.11,35920,2025-10-20,
